Player,BO
F du Plessis ,1
YBK Jaiswal ,1
DP Conway ,1
V Kohli ,1
RD Gaikwad ,1
Shubman Gill ,1
RK Singh ,5
KR Mayers ,1
DA Warner ,1
VR Iyer ,3
S Dhawan ,1
JC Buttler ,1
Ishan Kishan ,1
N Rana ,4
KL Rahul ,1
NT Tilak Varma ,5
SA Yadav ,4
C Green ,3
S Dube ,4
GJ Maxwell ,3
N Pooran ,6
JM Sharma ,6
AR Patel ,6
MP Stoinis ,5
AM Rahane ,4
Prabhsimran Singh ,1
HH Pandya ,3
SV Samson ,4
V Shankar ,4
SO Hetmyer ,6
D Padikkal ,4
SM Curran ,5
A Badoni ,5
RA Tripathi ,4
H Klaasen ,6
MA Agarwal ,1
RG Sharma ,1
Rahmanullah Gurbaz ,1
JJ Roy ,1
DA Miller ,5
TH David ,6
B Sai Sudharsan ,4
AK Markram ,4
AD Russell ,5
HC Brook ,4
LS Livingstone ,4
WP Saha ,1
Abhishek Sharma ,1
MK Pandey ,5
DC Jurel ,6
Sikandar Raza ,6
KH Pandya ,6
MW Short ,3
A Manohar ,5
A Taide ,4
Abdul Samad ,5
SN Thakur ,6
MM Ali ,5
KD Karthik ,6
MR Marsh ,3
RA Jadeja ,7
N Jagadeesan ,6
M Shahrukh Khan ,7
Aman Hakim Khan ,6
AT Rayudu ,5
MK Lomror ,5
Harpreet Singh ,6
MS Dhoni ,7
PBB Rajapaksa ,1
N Wadhera ,7
R Ashwin ,7
PD Salt ,1
R Tewatia ,6
Washington Sundar ,7
R Parag ,4
SN Khan ,5
DJ Hooda ,5
RR Rossouw ,4
Lalit Yadav ,4
K Gowtham ,6
PP Shaw ,1
Shahbaz Ahmed ,6
RV Patel ,6
A Nortje ,8
DJ Willey ,9
SS Prabhudessai ,5
M Jansen ,7
Abishek Porel ,7
Harpreet Brar ,8
Anmolpreet Singh ,8
Anuj Rawat ,8
PP Chawla ,8
HR Shokeen ,8
AU Rashid ,8
PK Garg ,8
D Wiese ,8
PWH de Silva ,8
Kuldeep Yadav ,8
A Mishra ,8
MG Bracewell ,8
